epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9477,1.2945,3.5754,1.72126,0.64255,0.86705,0.78211,0.50402,1.21095,2.29446,1.59756,0.000148571,0.000148571,0.000148571
2,66.3639,1.17413,1.66518,1.49313,0.63735,0.81481,0.76424,0.49181,1.39382,1.43721,1.71246,0.000294293,0.000294293,0.000294293
3,103.542,1.19328,1.36998,1.48952,0.83183,0.8644,0.90794,0.58268,1.35707,0.92606,1.68297,0.000434009,0.000434009,0.000434009
4,146.719,1.15202,1.17994,1.4714,0.81763,0.68664,0.81924,0.53748,1.32661,1.03488,1.76768,0.000427973,0.000427973,0.000427973
5,175.597,1.22781,1.23674,1.51322,0.82262,0.6717,0.7583,0.49221,1.28299,1.10825,1.61704,0.000418964,0.000418964,0.000418964
6,209.117,1.11219,1.09329,1.44963,0.68638,0.83067,0.91158,0.61648,1.23779,1.16891,1.58794,0.000409955,0.000409955,0.000409955
7,247.884,1.10265,0.96682,1.42793,0.83502,0.84983,0.9325,0.65,1.22146,0.82613,1.5836,0.000400946,0.000400946,0.000400946
8,278.337,1.06799,0.90645,1.40382,0.84639,0.91331,0.95557,0.67493,1.1446,0.70203,1.46497,0.000391937,0.000391937,0.000391937
9,313.593,1.11209,0.96899,1.42404,0.74681,0.79105,0.86117,0.59693,1.1526,0.97936,1.49652,0.000382928,0.000382928,0.000382928
10,340,1.0755,0.89601,1.41789,0.72189,0.88097,0.83798,0.58752,1.13942,0.89072,1.49313,0.000373919,0.000373919,0.000373919
11,371.152,1.08212,0.9049,1.4075,0.82355,0.87422,0.8642,0.59494,1.21695,0.9096,1.59509,0.00036491,0.00036491,0.00036491
12,401.004,1.05963,0.87538,1.41653,0.89627,0.90459,0.95747,0.707,1.10105,0.67454,1.44769,0.000355901,0.000355901,0.000355901
13,430.416,1.05766,0.87155,1.35652,0.96453,0.9277,0.97421,0.73821,1.03994,0.59557,1.39655,0.000346892,0.000346892,0.000346892
14,463.407,1.04372,0.82549,1.37944,0.80592,0.86689,0.96614,0.7104,1.02627,0.70897,1.37438,0.000337883,0.000337883,0.000337883
15,488.417,1.00222,0.81065,1.34595,0.88029,0.966,0.97259,0.74274,1.01894,0.60805,1.37079,0.000328874,0.000328874,0.000328874
16,516.551,1.00104,0.78578,1.34928,0.85453,0.96207,0.9616,0.72798,1.01149,0.60216,1.36892,0.000319865,0.000319865,0.000319865
17,545.526,0.9708,0.74741,1.32293,0.89414,0.82365,0.90813,0.65571,1.05656,0.73078,1.41538,0.000310856,0.000310856,0.000310856
18,573.155,0.96031,0.69547,1.29124,0.91911,0.90246,0.97856,0.71004,1.03994,0.58839,1.37259,0.000301847,0.000301847,0.000301847
19,603.045,0.98723,0.70293,1.3301,0.90229,0.93366,0.9408,0.69874,1.00795,0.5954,1.34682,0.000292838,0.000292838,0.000292838
20,632.196,0.96488,0.69423,1.32041,0.96179,0.96111,0.98191,0.78133,0.92988,0.5304,1.31209,0.000283829,0.000283829,0.000283829
21,657.181,0.97003,0.71202,1.3143,0.9519,0.99425,0.99196,0.75284,0.95214,0.5136,1.30097,0.00027482,0.00027482,0.00027482
22,684.9,0.93991,0.65643,1.31528,0.96256,0.96099,0.98667,0.77348,0.92767,0.49602,1.29031,0.000265811,0.000265811,0.000265811
23,713.585,0.93264,0.68199,1.28878,0.96056,0.95115,0.98905,0.77815,0.92403,0.47572,1.2655,0.000256802,0.000256802,0.000256802
24,742.05,0.93063,0.65723,1.29402,0.92351,0.97316,0.96873,0.72105,1.00068,0.55752,1.34397,0.000247793,0.000247793,0.000247793
25,767.677,0.92273,0.62722,1.29537,0.98289,0.98208,0.99066,0.76362,0.91962,0.44384,1.29574,0.000238784,0.000238784,0.000238784
26,798.501,0.91977,0.60995,1.28798,0.96133,0.97099,0.98237,0.76121,0.9078,0.49261,1.29283,0.000229775,0.000229775,0.000229775
27,827.657,0.91407,0.61701,1.26835,0.98266,0.98746,0.99371,0.80695,0.86674,0.42216,1.23781,0.000220766,0.000220766,0.000220766
28,855.126,0.88027,0.69279,1.25531,0.96504,0.99713,0.98667,0.77411,0.92031,0.44606,1.27891,0.000211757,0.000211757,0.000211757
29,884.406,0.87353,0.55001,1.23337,0.97757,0.99312,0.99299,0.80442,0.83379,0.40463,1.21895,0.000202748,0.000202748,0.000202748
30,911.63,0.86861,0.55394,1.24905,0.97919,0.97804,0.98739,0.80353,0.89678,0.44425,1.27106,0.000193739,0.000193739,0.000193739
31,937.299,0.83957,0.53031,1.21625,0.98396,0.99266,0.99417,0.82048,0.81422,0.38618,1.20487,0.00018473,0.00018473,0.00018473
32,966.367,0.84508,0.54026,1.23276,0.97177,0.99425,0.99353,0.80998,0.8558,0.42006,1.22161,0.000175721,0.000175721,0.000175721
33,993.763,0.86114,0.52713,1.23827,0.98452,0.99592,0.99401,0.81771,0.82729,0.41958,1.19703,0.000166712,0.000166712,0.000166712
34,1021.93,0.87368,0.54885,1.24853,0.9929,0.99138,0.99472,0.81129,0.79709,0.37484,1.16405,0.000157703,0.000157703,0.000157703
35,1048.7,0.81618,0.51537,1.20591,0.94009,0.99671,0.99055,0.82841,0.76663,0.37914,1.14779,0.000148694,0.000148694,0.000148694
36,1077.96,0.85704,0.5172,1.22188,0.96551,0.96881,0.99282,0.8162,0.8279,0.41865,1.18631,0.000139685,0.000139685,0.000139685
37,1105.74,0.80221,0.50862,1.20025,0.96177,0.98851,0.99435,0.83916,0.74462,0.36226,1.14476,0.000130676,0.000130676,0.000130676
38,1134.55,0.79384,0.46618,1.19136,0.93813,0.98074,0.99133,0.84026,0.71206,0.38453,1.1279,0.000121667,0.000121667,0.000121667
39,1152.4,0.79049,0.47786,1.20366,0.98335,0.97863,0.99273,0.8379,0.72112,0.36251,1.12984,0.000112658,0.000112658,0.000112658
40,1174.33,0.80726,0.48042,1.18574,0.98318,0.99713,0.995,0.83741,0.74304,0.34652,1.14214,0.000103649,0.000103649,0.000103649
41,1210.25,0.67025,0.39138,1.17925,0.97199,0.99138,0.99468,0.84071,0.74051,0.34526,1.11802,9.464e-05,9.464e-05,9.464e-05
42,1239.06,0.66031,0.36367,1.1703,0.97756,0.98897,0.99491,0.84156,0.71694,0.3398,1.10856,8.5631e-05,8.5631e-05,8.5631e-05
43,1263.15,0.6322,0.35379,1.1561,0.99256,0.99494,0.995,0.85652,0.68303,0.31375,1.08085,7.6622e-05,7.6622e-05,7.6622e-05
44,1290.17,0.62674,0.37846,1.12251,0.99045,0.99713,0.995,0.8575,0.68342,0.31557,1.0835,6.7613e-05,6.7613e-05,6.7613e-05
45,1307.73,0.59373,0.34722,1.1056,0.98231,0.99713,0.99358,0.8543,0.67502,0.32655,1.07396,5.8604e-05,5.8604e-05,5.8604e-05
46,1326.16,0.63252,0.3501,1.14197,0.97795,0.99713,0.99391,0.85582,0.66832,0.3121,1.07304,4.9595e-05,4.9595e-05,4.9595e-05
47,1346.46,0.58477,0.33301,1.09743,0.98544,0.99713,0.9948,0.86465,0.64724,0.30574,1.05696,4.0586e-05,4.0586e-05,4.0586e-05
48,1375.36,0.5684,0.30756,1.09396,0.98721,0.99713,0.995,0.8745,0.63237,0.30033,1.04589,3.1577e-05,3.1577e-05,3.1577e-05
49,1398.12,0.55861,0.30255,1.08947,0.99214,0.99713,0.995,0.87257,0.63014,0.29318,1.04724,2.2568e-05,2.2568e-05,2.2568e-05
50,1420.49,0.56413,0.29733,1.08014,0.99098,0.99713,0.995,0.87148,0.62943,0.29443,1.04745,1.3559e-05,1.3559e-05,1.3559e-05
